age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,native_country
62,3,10,5,12,4,4,0,0,1617,33,0,39
52,3,9,6,14,1,4,1,0,0,40,0,39
69,3,4,2,0,0,4,1,0,0,48,0,39
33,3,13,2,4,0,4,1,0,0,55,1,39
40,3,11,5,12,1,2,1,0,0,44,0,39
52,3,9,2,12,0,4,1,0,0,60,1,39
56,4,10,2,3,0,4,1,0,0,40,0,39
28,3,9,4,8,1,4,1,0,0,60,0,39
54,3,9,2,14,0,4,1,0,0,50,1,39
48,3,13,2,3,0,4,1,0,0,55,0,39
43,6,10,2,3,0,4,1,0,0,40,0,0
30,3,13,4,8,1,4,0,0,0,40,0,39
38,3,13,3,3,1,2,1,0,0,40,0,6
37,3,13,4,3,1,4,1,0,0,40,0,39
19,3,9,4,0,3,4,1,0,0,30,0,39
36,3,9,0,3,1,4,1,0,0,40,0,39
25,3,10,4,3,3,4,1,0,0,55,0,39
21,3,10,4,7,3,4,1,0,0,40,0,39
22,3,9,0,14,1,4,1,0,0,40,0,39
21,3,9,0,12,4,0,0,0,0,38,0,39
45,4,11,0,12,4,4,0,0,0,30,0,39
56,3,7,5,8,1,2,0,0,0,40,0,39
45,3,9,2,7,0,4,1,0,0,45,1,39
37,4,10,2,4,0,4,1,0,0,60,1,39
35,3,10,4,12,1,4,1,0,0,40,0,39
45,3,9,0,4,1,4,1,13550,0,50,1,39
24,1,9,4,8,3,4,1,0,0,40,0,39
23,3,9,2,1,2,4,1,0,0,40,0,39
31,3,9,3,8,1,4,0,0,0,80,0,22
20,3,10,4,4,3,4,0,0,0,20,0,39
19,3,9,4,6,3,4,1,0,0,16,0,39
20,3,10,4,1,4,2,0,0,0,35,0,39
59,3,14,4,12,1,4,0,27828,0,45,1,39
40,1,13,2,10,0,4,1,0,0,35,0,39
43,3,9,0,12,1,4,1,0,0,20,0,39
27,3,9,4,6,3,4,0,0,0,40,0,39
33,3,9,2,12,0,4,1,0,0,40,0,39
42,3,10,2,13,0,4,1,0,0,40,0,39
29,3,11,0,4,1,4,0,0,0,40,0,39
35,3,8,4,7,4,2,0,0,0,40,0,39
34,3,9,2,3,0,4,1,3908,0,46,0,39
44,3,9,4,7,1,4,0,0,0,40,0,39
72,3,4,6,0,4,4,0,0,0,20,0,39
33,1,14,2,10,5,4,0,0,0,40,0,39
29,3,10,4,8,1,3,1,0,1590,40,0,0
28,5,13,4,10,1,2,1,0,0,50,1,39
58,3,4,0,7,3,4,1,0,0,40,0,39
27,0,13,4,14,2,4,1,0,0,35,0,39
45,1,14,2,10,0,4,1,0,0,50,1,39
