age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
90,0,9,6,0,1,4,0,0,4356,40,39,0
82,4,9,6,4,1,4,0,0,4356,18,39,0
66,0,10,6,0,4,2,0,0,4356,40,39,0
54,4,4,0,7,4,4,0,0,3900,40,39,0
41,4,10,5,10,3,4,0,0,3900,40,39,0
34,4,9,0,8,4,4,0,0,3770,45,39,0
38,4,6,5,1,4,4,1,0,3770,40,39,0
74,7,16,4,10,2,4,0,0,3683,20,39,1
68,1,9,0,10,1,4,0,0,3683,40,39,0
41,4,10,4,3,4,4,1,0,3004,60,0,1
45,4,16,0,10,4,2,0,0,3004,35,39,1
38,6,15,4,10,1,4,1,0,2824,45,39,1
52,4,13,6,8,1,4,0,0,2824,20,39,1
32,4,14,5,4,1,4,1,0,2824,55,39,1
51,0,16,4,0,1,4,1,0,2824,40,39,1
46,4,15,0,10,1,4,1,0,2824,40,39,1
45,4,7,0,14,1,4,1,0,2824,76,39,1
57,4,14,0,4,1,4,1,0,2824,50,39,1
22,4,12,4,6,1,2,1,0,2824,40,0,1
34,4,13,5,12,1,4,1,0,2824,50,39,1
37,4,13,4,4,1,4,1,0,2824,40,39,1
29,4,7,5,12,1,4,0,0,2754,42,39,0
61,4,9,0,12,4,4,0,0,2754,25,39,0
51,4,10,2,14,0,4,1,0,2603,40,39,0
61,0,9,2,0,0,4,1,0,2603,32,39,0
21,4,11,2,3,0,4,1,0,2603,40,39,0
33,4,2,2,3,1,4,1,0,2603,32,26,0
49,4,3,2,8,0,4,1,0,2603,40,12,0
37,5,6,4,14,1,4,1,0,2559,50,39,1
38,4,6,4,10,1,4,1,0,2559,90,39,1
23,4,10,5,8,1,4,1,0,2559,40,39,1
59,5,6,6,4,4,4,0,0,2559,50,39,1
52,4,15,0,4,1,4,1,0,2559,60,39,1
51,4,13,0,4,1,4,1,0,2559,50,39,1
60,6,9,4,4,1,2,1,0,2559,50,39,1
63,1,16,0,4,1,4,0,0,2559,60,39,1
53,4,9,4,12,1,4,1,0,2559,48,39,1
51,4,15,4,10,1,4,0,0,2559,50,39,1
37,6,16,4,10,1,4,0,0,2559,60,39,1
54,4,14,0,10,1,4,0,0,2559,40,39,1
44,4,13,0,4,4,4,1,0,2547,50,39,1
43,4,14,0,4,4,4,0,0,2547,40,39,1
51,4,10,0,1,4,4,0,0,2547,40,39,1
43,4,14,0,10,4,4,0,0,2547,40,39,1
71,0,9,2,0,0,4,1,0,2489,15,39,0
48,4,13,3,12,4,4,0,0,2472,70,39,1
71,4,9,2,12,0,4,1,0,2467,52,39,0
73,6,9,2,5,0,1,1,0,2457,40,40,0
68,0,10,2,0,5,4,0,0,2457,40,39,0
67,0,10,2,0,0,4,1,0,2457,40,39,0
40,6,15,4,10,1,4,1,0,2444,45,39,1
50,4,9,6,12,1,4,0,0,2444,72,39,1
51,7,11,0,13,1,4,1,0,2444,39,39,1
42,4,10,4,4,1,4,0,0,2444,40,39,1
39,4,14,4,12,1,4,1,0,2444,45,39,1
32,4,13,4,4,2,4,1,0,2444,50,39,1
53,4,10,5,3,1,4,1,0,2444,45,39,1
40,2,10,4,11,1,4,1,0,2444,40,39,1
38,4,13,4,12,1,4,0,0,2444,45,39,1
33,4,11,5,3,1,4,1,0,2444,42,39,1
43,4,12,0,3,1,4,1,0,2444,70,39,1
50,5,7,4,4,2,4,1,0,2444,40,39,1
44,4,10,2,1,5,4,0,0,2415,6,39,1
51,6,13,2,12,0,1,1,0,2415,40,3,1
41,4,15,2,10,0,4,1,0,2415,40,39,1
60,5,11,2,7,0,4,1,0,2415,70,0,1
37,4,14,2,4,0,4,1,0,2415,60,39,1
55,5,15,2,10,0,4,1,0,2415,35,12,1
39,5,13,2,12,0,4,1,0,2415,60,39,1
42,5,15,2,10,0,4,1,0,2415,60,39,1
49,4,13,2,12,0,4,1,0,2415,55,39,1
47,6,9,2,4,0,4,1,0,2415,50,39,1
41,2,15,2,10,0,4,1,0,2415,45,39,1
55,5,13,2,4,0,4,1,0,2415,50,39,1
39,4,14,2,4,5,4,0,0,2415,65,39,1
42,4,13,2,4,0,4,1,0,2415,60,39,1
41,0,11,2,0,0,4,1,0,2415,12,39,1
46,4,14,2,12,0,4,1,0,2415,65,39,1
40,4,14,2,4,0,4,1,0,2415,45,39,1
32,4,13,2,10,0,4,1,0,2415,48,39,1
41,5,10,2,4,0,4,1,0,2415,55,39,1
60,5,15,2,10,0,4,1,0,2415,80,39,1
31,4,14,2,4,0,4,1,0,2415,70,36,1
58,6,10,2,5,0,4,1,0,2415,40,39,1
37,5,13,2,12,0,4,1,0,2415,50,39,1
44,6,13,2,4,0,4,1,0,2415,50,39,1
39,6,15,2,10,0,4,1,0,2415,50,0,1
43,1,15,2,10,0,1,1,0,2415,55,0,1
55,5,13,2,4,0,4,1,0,2415,50,39,1
44,5,14,2,10,0,4,1,0,2415,55,39,1
39,4,15,2,10,0,1,1,0,2415,67,19,1
46,6,13,2,12,0,4,1,0,2415,40,39,1
39,4,10,2,5,0,4,1,0,2415,99,39,1
62,5,13,2,5,0,4,1,0,2415,60,39,1
31,6,9,2,8,5,4,0,0,2415,40,39,1
46,4,13,2,1,0,1,1,0,2415,35,30,1
46,6,15,2,10,0,4,1,0,2415,80,39,1
39,5,11,2,3,0,4,1,0,2415,40,39,1
39,4,15,2,12,0,4,1,0,2415,99,39,1
59,4,16,2,10,0,4,1,0,2415,45,39,1
50,5,15,2,10,0,4,1,0,2415,60,39,1
46,4,16,2,10,0,4,1,0,2415,55,39,1
53,6,13,2,4,0,4,1,0,2415,40,39,1
50,6,15,2,10,0,4,1,0,2415,30,39,1
41,5,15,2,4,5,4,0,0,2415,55,39,1
36,4,13,2,12,0,4,1,0,2415,45,39,1
38,4,15,2,10,0,4,1,0,2415,90,39,1
54,4,10,2,12,0,4,1,0,2415,50,39,1
50,4,13,2,4,5,4,0,0,2415,20,39,1
47,4,13,2,4,0,4,1,0,2415,60,39,1
47,5,15,2,10,0,4,1,0,2415,45,39,1
67,4,13,6,4,1,4,1,0,2392,40,39,1
67,5,13,2,4,0,4,1,0,2392,75,39,1
72,6,16,2,10,0,4,1,0,2392,25,39,1
72,0,16,2,0,0,4,1,0,2392,6,39,1
46,5,14,2,4,0,4,1,0,2392,50,39,1
78,5,13,2,4,0,4,1,0,2392,40,39,1
71,5,13,2,4,0,4,1,0,2392,60,39,1
83,5,13,2,4,0,4,1,0,2392,55,39,1
68,4,14,2,4,0,4,1,0,2392,40,39,1
26,4,11,2,1,0,4,1,0,2377,45,39,0
68,7,16,2,10,0,4,1,0,2377,60,39,1
49,5,9,2,1,5,4,0,0,2377,40,39,1
36,4,9,2,10,0,4,1,0,2377,60,39,0
70,6,13,2,3,0,4,1,0,2377,12,39,1
27,4,10,2,1,5,2,0,0,2377,20,39,0
35,2,10,2,4,0,4,1,0,2377,40,39,0
23,4,9,2,12,0,4,1,0,2377,40,39,0
81,4,9,2,4,0,4,1,0,2377,26,39,1
66,6,16,2,12,0,4,1,0,2377,25,39,1
71,4,9,2,4,0,4,1,0,2377,45,39,1
68,4,10,2,12,0,4,1,0,2377,55,39,1
68,7,14,2,10,0,4,1,0,2377,42,0,1
65,0,13,2,0,0,4,1,0,2377,40,39,1
52,4,9,2,12,0,2,1,0,2377,40,39,0
40,5,12,2,3,0,4,1,0,2377,50,39,0
68,0,13,2,0,0,4,1,0,2377,35,39,1
21,4,10,2,4,0,4,1,0,2377,48,39,0
35,4,9,2,3,0,4,1,0,2377,40,39,0
70,5,13,2,4,0,4,1,0,2377,50,39,1
61,6,9,2,5,0,4,1,0,2352,50,39,0
65,5,9,2,5,0,4,1,0,2352,65,39,0
46,4,3,0,3,1,4,0,0,2339,45,39,0
26,2,13,4,10,1,4,1,0,2339,55,39,0
